image path,label,prediction
PatternNet\airplane\airplane002.jpg,0,0
PatternNet\airplane\airplane003.jpg,0,0
PatternNet\airplane\airplane004.jpg,0,0
PatternNet\airplane\airplane012.jpg,0,0
PatternNet\airplane\airplane013.jpg,0,0
PatternNet\airplane\airplane014.jpg,0,0
PatternNet\airplane\airplane022.jpg,0,0
PatternNet\airplane\airplane023.jpg,0,0
PatternNet\airplane\airplane024.jpg,0,0
PatternNet\airplane\airplane032.jpg,0,0
PatternNet\airplane\airplane033.jpg,0,0
PatternNet\airplane\airplane034.jpg,0,0
PatternNet\airplane\airplane042.jpg,0,0
PatternNet\airplane\airplane043.jpg,0,0
PatternNet\airplane\airplane044.jpg,0,0
PatternNet\airplane\airplane052.jpg,0,0
PatternNet\airplane\airplane053.jpg,0,0
PatternNet\airplane\airplane054.jpg,0,0
PatternNet\airplane\airplane062.jpg,0,0
PatternNet\airplane\airplane063.jpg,0,0
PatternNet\airplane\airplane064.jpg,0,0
PatternNet\airplane\airplane072.jpg,0,0
PatternNet\airplane\airplane073.jpg,0,0
PatternNet\airplane\airplane074.jpg,0,0
PatternNet\airplane\airplane082.jpg,0,0
PatternNet\airplane\airplane083.jpg,0,0
PatternNet\airplane\airplane084.jpg,0,0
PatternNet\airplane\airplane092.jpg,0,0
PatternNet\airplane\airplane093.jpg,0,0
PatternNet\airplane\airplane094.jpg,0,0
PatternNet\airplane\airplane102.jpg,0,0
PatternNet\airplane\airplane103.jpg,0,0
PatternNet\airplane\airplane104.jpg,0,0
PatternNet\airplane\airplane112.jpg,0,0
PatternNet\airplane\airplane113.jpg,0,0
PatternNet\airplane\airplane114.jpg,0,0
PatternNet\airplane\airplane122.jpg,0,0
PatternNet\airplane\airplane123.jpg,0,0
PatternNet\airplane\airplane124.jpg,0,0
PatternNet\airplane\airplane132.jpg,0,0
PatternNet\airplane\airplane133.jpg,0,0
PatternNet\airplane\airplane134.jpg,0,0
PatternNet\airplane\airplane142.jpg,0,0
PatternNet\airplane\airplane143.jpg,0,0
PatternNet\airplane\airplane144.jpg,0,0
PatternNet\airplane\airplane152.jpg,0,0
PatternNet\airplane\airplane153.jpg,0,0
PatternNet\airplane\airplane154.jpg,0,0
PatternNet\airplane\airplane162.jpg,0,0
PatternNet\airplane\airplane163.jpg,0,0
PatternNet\airplane\airplane164.jpg,0,0
PatternNet\airplane\airplane172.jpg,0,0
PatternNet\airplane\airplane173.jpg,0,0
PatternNet\airplane\airplane174.jpg,0,0
PatternNet\airplane\airplane182.jpg,0,0
PatternNet\airplane\airplane183.jpg,0,0
PatternNet\airplane\airplane184.jpg,0,0
PatternNet\airplane\airplane192.jpg,0,0
PatternNet\airplane\airplane193.jpg,0,0
PatternNet\airplane\airplane194.jpg,0,0
PatternNet\airplane\airplane202.jpg,0,0
PatternNet\airplane\airplane203.jpg,0,0
PatternNet\airplane\airplane204.jpg,0,0
PatternNet\airplane\airplane212.jpg,0,0
PatternNet\airplane\airplane213.jpg,0,0
PatternNet\airplane\airplane214.jpg,0,0
PatternNet\airplane\airplane222.jpg,0,0
PatternNet\airplane\airplane223.jpg,0,0
PatternNet\airplane\airplane224.jpg,0,0
PatternNet\airplane\airplane232.jpg,0,0
PatternNet\airplane\airplane233.jpg,0,0
PatternNet\airplane\airplane234.jpg,0,0
PatternNet\airplane\airplane242.jpg,0,0
PatternNet\airplane\airplane243.jpg,0,0
PatternNet\airplane\airplane244.jpg,0,0
PatternNet\airplane\airplane252.jpg,0,0
PatternNet\airplane\airplane253.jpg,0,0
PatternNet\airplane\airplane254.jpg,0,0
PatternNet\airplane\airplane262.jpg,0,0
PatternNet\airplane\airplane263.jpg,0,0
PatternNet\airplane\airplane264.jpg,0,15
PatternNet\airplane\airplane272.jpg,0,0
PatternNet\airplane\airplane273.jpg,0,0
PatternNet\airplane\airplane274.jpg,0,0
PatternNet\airplane\airplane282.jpg,0,0
PatternNet\airplane\airplane283.jpg,0,0
PatternNet\airplane\airplane284.jpg,0,0
PatternNet\airplane\airplane292.jpg,0,0
PatternNet\airplane\airplane293.jpg,0,0
PatternNet\airplane\airplane294.jpg,0,0
PatternNet\airplane\airplane302.jpg,0,0
PatternNet\airplane\airplane303.jpg,0,0
PatternNet\airplane\airplane304.jpg,0,0
PatternNet\airplane\airplane312.jpg,0,0
PatternNet\airplane\airplane313.jpg,0,0
PatternNet\airplane\airplane314.jpg,0,0
PatternNet\airplane\airplane322.jpg,0,0
PatternNet\airplane\airplane323.jpg,0,0
PatternNet\airplane\airplane324.jpg,0,0
PatternNet\airplane\airplane332.jpg,0,0
PatternNet\airplane\airplane333.jpg,0,0
PatternNet\airplane\airplane334.jpg,0,0
PatternNet\airplane\airplane342.jpg,0,0
PatternNet\airplane\airplane343.jpg,0,0
PatternNet\airplane\airplane344.jpg,0,0
PatternNet\airplane\airplane352.jpg,0,0
PatternNet\airplane\airplane353.jpg,0,0
PatternNet\airplane\airplane354.jpg,0,0
PatternNet\airplane\airplane362.jpg,0,0
PatternNet\airplane\airplane363.jpg,0,0
PatternNet\airplane\airplane364.jpg,0,0
PatternNet\airplane\airplane372.jpg,0,0
PatternNet\airplane\airplane373.jpg,0,0
PatternNet\airplane\airplane374.jpg,0,0
PatternNet\airplane\airplane382.jpg,0,0
PatternNet\airplane\airplane383.jpg,0,0
PatternNet\airplane\airplane384.jpg,0,0
PatternNet\airplane\airplane392.jpg,0,0
PatternNet\airplane\airplane393.jpg,0,0
PatternNet\airplane\airplane394.jpg,0,0
PatternNet\airplane\airplane402.jpg,0,0
PatternNet\airplane\airplane403.jpg,0,0
PatternNet\airplane\airplane404.jpg,0,0
PatternNet\airplane\airplane412.jpg,0,0
PatternNet\airplane\airplane413.jpg,0,0
PatternNet\airplane\airplane414.jpg,0,0
PatternNet\airplane\airplane422.jpg,0,0
PatternNet\airplane\airplane423.jpg,0,0
PatternNet\airplane\airplane424.jpg,0,0
PatternNet\airplane\airplane432.jpg,0,0
PatternNet\airplane\airplane433.jpg,0,0
PatternNet\airplane\airplane434.jpg,0,0
PatternNet\airplane\airplane442.jpg,0,0
