PatternNet\airplane\airplane002.jpg;  dis:0.0; label:0
PatternNet\airplane\airplane003.jpg;  dis:9.382692; label:0
PatternNet\airplane\airplane174.jpg;  dis:11.584378; label:0
PatternNet\airplane\airplane072.jpg;  dis:11.689565; label:0
PatternNet\airplane\airplane152.jpg;  dis:11.956687; label:0
PatternNet\airplane\airplane094.jpg;  dis:12.0060625; label:0
PatternNet\airplane\airplane104.jpg;  dis:12.972585; label:0
PatternNet\airplane\airplane004.jpg;  dis:13.036625; label:0
PatternNet\airplane\airplane103.jpg;  dis:13.079574; label:0
PatternNet\airplane\airplane434.jpg;  dis:13.284466; label:0
PatternNet\airplane\airplane153.jpg;  dis:13.350499; label:0
PatternNet\airplane\airplane143.jpg;  dis:13.461165; label:0
PatternNet\airplane\airplane124.jpg;  dis:13.462602; label:0
PatternNet\airplane\airplane563.jpg;  dis:13.64134; label:0
PatternNet\airplane\airplane023.jpg;  dis:13.843862; label:0
PatternNet\airplane\airplane062.jpg;  dis:14.029479; label:0
PatternNet\airplane\airplane093.jpg;  dis:14.086934; label:0
PatternNet\airplane\airplane643.jpg;  dis:14.136261; label:0
PatternNet\airplane\airplane064.jpg;  dis:14.164881; label:0
PatternNet\airplane\airplane144.jpg;  dis:14.181603; label:0
PatternNet\airplane\airplane123.jpg;  dis:14.385512; label:0
PatternNet\airplane\airplane743.jpg;  dis:14.580673; label:0
PatternNet\airplane\airplane073.jpg;  dis:14.582072; label:0
PatternNet\airplane\airplane473.jpg;  dis:14.657781; label:0
PatternNet\airplane\airplane042.jpg;  dis:14.755313; label:0
PatternNet\airplane\airplane014.jpg;  dis:14.761889; label:0
PatternNet\airplane\airplane092.jpg;  dis:14.835746; label:0
PatternNet\airplane\airplane562.jpg;  dis:14.872171; label:0
PatternNet\airplane\airplane564.jpg;  dis:14.904923; label:0
PatternNet\airplane\airplane074.jpg;  dis:14.951397; label:0
PatternNet\airplane\airplane034.jpg;  dis:14.958415; label:0
PatternNet\airplane\airplane703.jpg;  dis:15.040805; label:0
PatternNet\airplane\airplane223.jpg;  dis:15.057216; label:0
PatternNet\airplane\airplane142.jpg;  dis:15.087825; label:0
PatternNet\airplane\airplane133.jpg;  dis:15.192365; label:0
PatternNet\airplane\airplane154.jpg;  dis:15.213653; label:0
PatternNet\airplane\airplane694.jpg;  dis:15.230525; label:0
PatternNet\airplane\airplane043.jpg;  dis:15.287923; label:0
PatternNet\airplane\airplane234.jpg;  dis:15.288915; label:0
PatternNet\airplane\airplane253.jpg;  dis:15.293241; label:0
PatternNet\airplane\airplane113.jpg;  dis:15.322081; label:0
PatternNet\airplane\airplane702.jpg;  dis:15.332566; label:0
PatternNet\airplane\airplane443.jpg;  dis:15.347024; label:0
PatternNet\airplane\airplane592.jpg;  dis:15.363437; label:0
PatternNet\airplane\airplane022.jpg;  dis:15.527773; label:0
PatternNet\airplane\airplane024.jpg;  dis:15.649422; label:0
PatternNet\airplane\airplane254.jpg;  dis:15.701233; label:0
PatternNet\airplane\airplane013.jpg;  dis:15.711076; label:0
PatternNet\airplane\airplane764.jpg;  dis:15.712002; label:0
PatternNet\airplane\airplane012.jpg;  dis:15.761825; label:0
PatternNet\airplane\airplane403.jpg;  dis:15.812138; label:0
PatternNet\airplane\airplane183.jpg;  dis:15.853698; label:0
PatternNet\airplane\airplane452.jpg;  dis:15.925752; label:0
PatternNet\airplane\airplane244.jpg;  dis:15.948848; label:0
PatternNet\airplane\airplane322.jpg;  dis:16.011343; label:0
PatternNet\airplane\airplane724.jpg;  dis:16.069847; label:0
PatternNet\airplane\airplane132.jpg;  dis:16.236723; label:0
PatternNet\airplane\airplane383.jpg;  dis:16.306194; label:0
PatternNet\airplane\airplane082.jpg;  dis:16.310606; label:0
PatternNet\airplane\airplane763.jpg;  dis:16.319006; label:0
PatternNet\airplane\airplane204.jpg;  dis:16.356209; label:0
PatternNet\airplane\airplane704.jpg;  dis:16.369991; label:0
PatternNet\airplane\airplane173.jpg;  dis:16.380957; label:0
PatternNet\airplane\airplane442.jpg;  dis:16.407871; label:0
PatternNet\airplane\airplane402.jpg;  dis:16.53991; label:0
PatternNet\airplane\airplane134.jpg;  dis:16.545324; label:0
PatternNet\airplane\airplane722.jpg;  dis:16.613926; label:0
PatternNet\airplane\airplane233.jpg;  dis:16.61697; label:0
PatternNet\airplane\airplane773.jpg;  dis:16.620823; label:0
PatternNet\airplane\airplane323.jpg;  dis:16.649078; label:0
PatternNet\airplane\airplane604.jpg;  dis:16.695784; label:0
PatternNet\airplane\airplane793.jpg;  dis:16.71294; label:0
PatternNet\airplane\airplane512.jpg;  dis:16.747437; label:0
PatternNet\airplane\airplane262.jpg;  dis:16.758924; label:0
PatternNet\airplane\airplane514.jpg;  dis:16.768957; label:0
PatternNet\airplane\airplane513.jpg;  dis:16.829569; label:0
PatternNet\airplane\airplane774.jpg;  dis:16.854084; label:0
PatternNet\airplane\airplane533.jpg;  dis:16.885406; label:0
PatternNet\airplane\airplane382.jpg;  dis:16.946; label:0
PatternNet\airplane\airplane243.jpg;  dis:17.000633; label:0
PatternNet\airplane\airplane203.jpg;  dis:17.058876; label:0
PatternNet\airplane\airplane044.jpg;  dis:17.061508; label:0
PatternNet\airplane\airplane232.jpg;  dis:17.097; label:0
PatternNet\airplane\airplane762.jpg;  dis:17.116016; label:0
PatternNet\airplane\airplane263.jpg;  dis:17.155037; label:0
PatternNet\airplane\airplane772.jpg;  dis:17.178122; label:0
PatternNet\airplane\airplane693.jpg;  dis:17.196878; label:0
PatternNet\airplane\airplane242.jpg;  dis:17.199987; label:0
PatternNet\airplane\airplane723.jpg;  dis:17.207937; label:0
PatternNet\airplane\airplane523.jpg;  dis:17.213314; label:0
PatternNet\airplane\airplane184.jpg;  dis:17.223139; label:0
PatternNet\airplane\airplane782.jpg;  dis:17.225067; label:0
PatternNet\airplane\airplane063.jpg;  dis:17.267828; label:0
PatternNet\airplane\airplane424.jpg;  dis:17.27624; label:0
PatternNet\airplane\airplane753.jpg;  dis:17.381605; label:0
PatternNet\airplane\airplane584.jpg;  dis:17.427027; label:0
PatternNet\airplane\airplane112.jpg;  dis:17.435675; label:0
PatternNet\airplane\airplane182.jpg;  dis:17.473408; label:0
PatternNet\airplane\airplane313.jpg;  dis:17.487043; label:0
PatternNet\airplane\airplane792.jpg;  dis:17.52406; label:0
正确率是1.0
